,EXECUTIONID,ABSTRACTIONID,ACTIONID,ARENAID,SHEETID,SYSTEMID,VARIANTID,ADAPTERID,X,Y,TYPE,VALUE,RAWVALUE,VALUETYPE,LASTMODIFIED,EXECUTIONTIME
76,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,,execute,arena_development.xlsx,f4944fc0-4de1-4f25-8b27-6e486c82c573,original,"3('addme', 'str_format', 0)",-1,3,metrics_all_branches_in_function,2,2,<class 'int'>,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 677000), 0)",-1
77,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"5('__getitem__', '__getitem__', 0)",2,1,input_value,"[2, 3, 5, 12, 'x', 7]","[2, 3, 5, 12, 'x', 7]",<class 'list'>,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 846000), 0)",-1
78,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"3('create', 'createPythonObject', 0)",7,0,input_value,x,x,<class 'str'>,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 677000), 0)",-1
79,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"8('__getitem__', '__getitem__', 0)",1,1,op,__getitem__,__getitem__,function,"(datetime.datetime(2024, 9, 15, 12, 23, 7, 22000), 0)",-1
80,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"5('create', 'createPythonObject', 0)",2,6,input_value,python.Dict,python.Dict,<class 'str'>,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 846000), 0)",-1
81,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"3('create', 'createPythonObject', 0)",1,0,adaptation_instruction,No adaptations needed,No adaptations needed,AdaptationInstruction,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 677000), 0)",-1
82,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"4('create', 'createPythonObject', 0)",7,6,input_value,c,c,<class 'str'>,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 766000), 0)",-1
83,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"5('create', 'FloatingFormat.__init__', 0)",1,2,error_message,Could not instantiate class,Could not instantiate class,<class 'str'>,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 846000), 0)",-1
84,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"6('__getitem__', '__getitem__', 0)",2,1,input_value,"[2, 3, 5, 12, 'x', 7]","[2, 3, 5, 12, 'x', 7]",<class 'list'>,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 943000), 0)",-1
85,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"5('create', 'FloatingFormat.__init__', 0)",1,2,op,FloatingFormat.__init__,FloatingFormat.__init__,function,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 846000), 0)",-1
86,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"4('create', 'createPythonObject', 0)",4,0,input_value,3,3,<class 'int'>,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 765000), 0)",-1
87,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"6('create', 'FloatingFormat.__init__', 0)",1,2,adaptation_instruction,UseStandardConstructorValues: ,"UseStandardConstructorValues: (1, 1, 1, 1)
",AdaptationInstruction,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 943000), 0)",-1
88,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"0('create', 'createPythonObject', 0)",0,0,value,"[2, 3, 5, 12, 'x', 7]","[2, 3, 5, 12, 'x', 7]",<class 'list'>,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 222000), 0)",-1
89,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"4('create', 'createPythonObject', 0)",3,5,input_value,1,1,<class 'int'>,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 766000), 0)",-1
90,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"5('create', 'createPythonObject', 0)",4,6,input_value,1,1,<class 'int'>,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 846000), 0)",-1
91,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"1('create', 'createPythonObject', 0)",0,0,value,"[2, 3, 5, 12, 'x', 7]","[2, 3, 5, 12, 'x', 7]",<class 'list'>,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 450000), 0)",-1
92,6140d01d-71b6-4abb-9924-23cf5a708884,Calculator,python_lasso,execute,arena_development.xlsx,None,original,"2('create', 'createPythonObject', 0)",0,0,value,"[2, 3, 5, 12, 'x', 7]","[2, 3, 5, 12, 'x', 7]",<class 'list'>,"(datetime.datetime(2024, 9, 15, 12, 23, 6, 618000), 0)",-1
